GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),GPS Altitude(ft),Acceleration Sensor(Total)(g),Acceleration Sensor(Z axis)(g),Speed (OBD)(mph),Engine RPM(rpm),Engine Coolant Temperature(°C)
Sat Apr 13 15:31:01 CDT 2019,31:03.3,-88.17586526,41.80895001,0,3,173,0,-0.30645782,-0.2873042,9.653421,0.003970087,567.5853062,0.003970087,0.884038866,0,718,-
Sat Apr 13 15:31:01 CDT 2019,31:04.3,-88.17586526,41.80895001,0,3,173,0,-0.2681506,-0.2873042,9.634268,0.001903117,567.5853062,0.001903117,0.882086396,0,718,-
Sat Apr 13 15:31:01 CDT 2019,31:05.3,-88.17586526,41.80895001,0,3,173,0,-0.2681506,-0.2873042,9.710882,0.009706497,567.5853062,0.009706497,0.889896214,0,718,-
Sat Apr 13 15:31:06 CDT 2019,31:06.3,-88.17586526,41.80895001,0,3,173,0,-0.2681506,-0.30645782,9.672575,0.005235604,567.5853062,0.005235604,0.885991275,0,718,-
Sat Apr 13 15:31:06 CDT 2019,31:07.3,-88.17586526,41.80895001,0,3,173,0,-0.2873042,-0.2681506,9.672575,0.005804777,567.5853062,0.005804777,0.885991275,0,718,-
Sat Apr 13 15:31:06 CDT 2019,31:08.3,-88.17586526,41.80895001,0,3,173,0,-0.2873042,-0.22984336,9.672575,0.005704343,567.5853062,0.005704343,0.885991275,0,718,-
Sat Apr 13 15:31:06 CDT 2019,31:09.3,-88.17586526,41.80895001,0,3,173,0,-0.24899697,-0.32561144,9.653421,0.003313177,567.5853062,0.003313177,0.884038866,0,718,-
Sat Apr 13 15:31:06 CDT 2019,31:10.3,-88.17586526,41.80895001,0,3,173,0,-0.2681506,-0.32561144,9.672575,0.00445119,567.5853062,0.00445119,0.885991275,0,718,-
Sat Apr 13 15:31:11 CDT 2019,31:11.3,-88.17586526,41.80895001,0,3,173,0,-0.21068975,-0.22984336,9.653421,0.00355202,567.5853062,0.00355202,0.884038866,0,718,-
Sat Apr 13 15:31:11 CDT 2019,31:12.3,-88.17586526,41.80895001,0,3,173,0,-0.22984336,-0.2873042,9.595961,-0.002099812,567.5853062,-0.002099812,0.878181458,0,718,-
Sat Apr 13 15:31:11 CDT 2019,31:13.3,-88.17586526,41.80895001,0,3,173,0,-0.22984336,-0.30645782,9.691729,0.007459506,567.5853062,0.007459506,0.887943745,0,718,-
Sat Apr 13 15:31:11 CDT 2019,31:14.3,-88.17586526,41.80895001,0,3,173,0,-0.22984336,-0.2681506,9.634268,0.001746059,567.5853062,0.001746058,0.882086396,0,718,-
Sat Apr 13 15:31:11 CDT 2019,31:15.3,-88.17586526,41.80895001,0,3,173,0,-0.2873042,-0.2873042,9.634268,0.001959324,567.5853062,0.001959324,0.882086396,0,718,-
Sat Apr 13 15:31:16 CDT 2019,31:16.3,-88.17586526,41.80895001,0,3,173,0,-0.30645782,-0.24899697,9.634268,0.001910865,567.5853062,0.001910865,0.882086396,0,718,-
Sat Apr 13 15:31:16 CDT 2019,31:17.3,-88.17586526,41.80895001,0,3,173,0,-0.2681506,-0.30645782,9.653421,0.006977119,567.5853062,0.006977119,0.884038866,0,718,-
Sat Apr 13 15:31:16 CDT 2019,31:18.3,-88.17586526,41.80895001,0,3,173,0,-0.21068975,-0.2873042,9.710882,0.009562194,567.5853062,0.009562194,0.889896214,0,718,-
Sat Apr 13 15:31:16 CDT 2019,31:19.3,-88.17586526,41.80895001,0,3,173,0,-0.22984336,-0.22984336,9.672575,0.005547881,567.5853062,0.005547881,0.885991275,0,718,-
Sat Apr 13 15:31:16 CDT 2019,31:20.3,-88.17586526,41.80895001,0,3,173,0,-0.2681506,-0.22984336,9.653421,0.003697157,567.5853062,0.003697157,0.884038866,0,718,-
Sat Apr 13 15:31:21 CDT 2019,31:21.3,-88.17586526,41.80895001,0,3,173,0,-0.2681506,-0.2681506,9.691729,0.005158314,567.5853062,0.005158314,0.887943745,0,718,-
Sat Apr 13 15:31:21 CDT 2019,31:22.3,-88.17586526,41.80895001,0,3,173,0,-0.2681506,-0.24899697,9.672575,0.005696654,567.5853062,0.005696654,0.885991275,0,718,-
Sat Apr 13 15:31:21 CDT 2019,31:23.3,-88.17586526,41.80895001,0,3,173,0,-0.21068975,-0.2681506,9.615114,-2.50E-04,567.5853062,-2.50E-04,0.880133927,0,718,-
Sat Apr 13 15:31:21 CDT 2019,31:24.3,-88.17586526,41.80895001,0,3,173,0,-0.30645782,-0.2681506,9.653421,0.003130489,567.5853062,0.003130489,0.884038866,0,718,-
Sat Apr 13 15:31:21 CDT 2019,31:25.3,-88.17586526,41.80895001,0,3,173,0,-0.24899697,-0.2873042,9.615114,-1.00E-04,567.5853062,-1.00E-04,0.880133927,0,718,-
Sat Apr 13 15:31:26 CDT 2019,31:26.3,-88.17586526,41.80895001,0,3,173,0,-0.2681506,-0.2681506,9.691729,0.007699728,567.5853062,0.007699728,0.887943745,0,718,-
Sat Apr 13 15:31:26 CDT 2019,31:27.3,-88.17586526,41.80895001,0,3,173,0,-0.24899697,-0.36391866,9.634268,0.002114475,567.5853062,0.002114475,0.882086396,0,718,-
Sat Apr 13 15:31:26 CDT 2019,31:28.3,-88.17586526,41.80895001,0,3,173,0,-0.2681506,-0.30645782,9.710882,0.003435664,567.5853062,0.003435664,0.889896214,0,718,-
Sat Apr 13 15:31:26 CDT 2019,31:29.3,-88.17586526,41.80895001,0,3,173,0,-0.22984336,-0.21068975,9.672575,0.005503416,567.5853062,0.005503416,0.885991275,0,718,-
Sat Apr 13 15:31:26 CDT 2019,31:30.3,-88.17586526,41.80895001,0,3,173,0,-0.32561144,-0.22984336,9.634268,0.001926363,567.5853062,0.00787133,0.887943745,0,718,-
Sat Apr 13 15:31:31 CDT 2019,31:31.3,-88.17586526,41.80895001,0,3,173,0,-0.2681506,-0.2681506,9.710882,0.009650707,567.5853062,0.009650707,0.889896214,0,718,-
Sat Apr 13 15:31:31 CDT 2019,31:32.3,-88.17586526,41.80895001,0,3,173,0,-0.22984336,-0.19153613,9.634268,0.001747489,567.5853062,0.001747489,0.882086396,0,718,-
Sat Apr 13 15:31:31 CDT 2019,31:33.3,-88.17586526,41.80895001,0,3,173,0,-0.2873042,-0.30645782,9.557653,-0.005782902,567.5853062,-0.005782902,0.874276578,0,718,-
Sat Apr 13 15:31:31 CDT 2019,31:34.3,-88.17586526,41.80895001,0,3,173,0,-0.2873042,-0.22984336,9.691729,0.007655382,567.5853062,0.007655382,0.887943745,0,718,-
